,radius,MAX_Process_20240212_JC001_annulusr1.5_48hr_1000um_01-1.tif,MAX_Process_20240212_JC001_annulusr1.5_48hr_1000um_02-1.tif,MAX_Process_20240212_JC001_annulusr1.5_48hr_1000um_03-1.tif,MAX_Process_20240213_JC001_annulusr1.5_48hr_1000um_01-1.tif
224,0.4509018036072144,0.0,0.0,0.0,0.0
225,0.45290581162324645,0.0,0.0,0.0,0.0
226,0.4549098196392785,0.0,0.0,0.0,0.0
227,0.4569138276553106,0.0,0.0,0.0,0.0
228,0.45891783567134264,0.0,0.0,0.0,0.0
229,0.4609218436873747,0.0,0.0,0.0,0.0
230,0.4629258517034068,0.0,0.0,0.0,0.0
231,0.46492985971943884,0.0,0.0,0.0,0.0
232,0.4669338677354709,0.0,0.0,0.0,0.0
233,0.468937875751503,0.0,0.0,0.0,0.0
234,0.47094188376753504,0.0,0.0,0.0,0.0
235,0.4729458917835671,0.0,0.0,0.0,0.0
236,0.4749498997995992,0.0,0.0,0.0,0.0
237,0.47695390781563124,0.0,0.0,0.0,0.0
238,0.4789579158316633,0.0,0.0,0.0,0.0
239,0.48096192384769537,0.0,0.0,0.0,0.0
240,0.48296593186372744,0.0,0.0,0.0,0.0
241,0.4849699398797595,0.0,0.0,0.0,0.0
242,0.48697394789579157,0.0,0.0,0.0,0.0
243,0.4889779559118236,0.0,0.0,0.0,0.0
244,0.49098196392785565,0.0,0.0,0.0,0.0
245,0.4929859719438877,0.0,0.0,0.0,0.0
246,0.4949899799599198,0.0,0.0,0.0,0.0
247,0.49699398797595185,0.0,0.0,0.0,0.0
248,0.4989979959919839,0.0,0.0,0.0,0.0
249,0.501002004008016,0.0,0.0,0.0,0.0
250,0.503006012024048,0.0,0.0,0.0,0.0
251,0.5050100200400801,0.0,0.0,0.0,0.0
252,0.5070140280561122,0.0,0.0,0.0,0.0
253,0.5090180360721442,0.0,0.0,0.0,0.0
254,0.5110220440881763,0.0,0.0,0.0,0.0
255,0.5130260521042084,0.0,0.0,0.0,0.0
256,0.5150300601202404,0.0,0.0,0.0,0.0
257,0.5170340681362725,0.0,0.0,0.0,0.0
258,0.5190380761523046,0.0,0.0,0.0,0.0
259,0.5210420841683366,0.0,0.0,0.0,0.0
260,0.5230460921843687,0.0,0.0,0.0,0.0
261,0.5250501002004008,0.0,0.0,0.0,0.0
262,0.5270541082164328,0.0,0.0,0.0,0.0
263,0.5290581162324649,0.0,0.0,0.0,0.0
264,0.531062124248497,0.0,0.0,0.0,0.0
265,0.533066132264529,0.0,0.0,0.0,0.0
266,0.5350701402805611,0.0,0.0,0.0,0.0
267,0.5370741482965932,0.0,0.0,0.0,0.0
268,0.5390781563126252,0.0,0.0,0.0,0.0
269,0.5410821643286573,0.0,0.0,0.0,0.0
270,0.5430861723446894,0.0,0.0,0.0,0.0
271,0.5450901803607214,0.0,0.0,0.0,0.0
272,0.5470941883767535,0.0,0.0,0.0,0.0
273,0.5490981963927856,0.0,0.0,0.0,0.0
274,0.5511022044088176,0.0,0.0,0.0,0.0
275,0.5531062124248497,0.0,0.0,0.0,0.0
276,0.5551102204408818,0.0,0.0,0.0,0.0
277,0.5571142284569138,0.0,0.0,0.0,0.0
278,0.5591182364729459,0.0,0.0,0.0,0.0
279,0.561122244488978,0.0,0.0,0.0,0.0
280,0.56312625250501,0.0,0.0,0.0,0.0
281,0.565130260521042,0.0,0.0,0.0,0.0
282,0.567134268537074,0.0,0.0,0.0,0.0
283,0.5691382765531061,0.0,0.0,0.0,0.0
284,0.5711422845691382,0.0,0.0,0.0,0.0
285,0.5731462925851702,0.0,0.0,0.0,0.0
286,0.5751503006012023,0.0,0.0,0.0,0.0
287,0.5771543086172344,0.0,0.0,0.0,0.0
288,0.5791583166332664,0.0,0.0,0.0,0.0
289,0.5811623246492985,0.0,0.0,0.0,0.0
290,0.5831663326653306,0.0,0.0,0.0,0.0
291,0.5851703406813626,0.0,0.0,0.0,0.0
292,0.5871743486973947,0.0,0.0,0.0,0.0
293,0.5891783567134268,0.0,0.0,0.0,0.0
294,0.5911823647294588,0.0,0.0,0.0,0.0
295,0.5931863727454909,0.0,0.0,0.0,0.0
296,0.595190380761523,0.0,0.0,0.0,0.0
297,0.597194388777555,0.0,0.0,0.0,0.0
298,0.5991983967935871,0.0,0.0,0.0,0.0
299,0.6012024048096192,0.0,0.0,0.0,0.0
300,0.6032064128256512,0.0,0.0,0.0,0.0
301,0.6052104208416833,0.0,0.0,0.0,0.0
302,0.6072144288577154,0.0,0.0,0.0,0.0
303,0.6092184368737474,0.6642723828043346,0.0,0.0,0.0
304,0.6112224448897795,0.645277575740671,0.0,0.0,0.0
305,0.6132264529058116,0.6952245341653847,0.0,0.0,0.0
306,0.6152304609218436,0.8292433371579239,0.0,0.0,0.0
307,0.6172344689378757,0.9027595140247573,0.0,0.0,0.0
308,0.6192384769539078,0.9739241972648173,0.0,0.0,0.0
309,0.6212424849699398,0.9089439182630337,0.0,0.0,0.0
310,0.6232464929859719,0.8522267505237558,0.0,0.0,0.0
311,0.625250501002004,0.8686715876154351,0.0,0.0,0.0
312,0.627254509018036,0.8747618350886165,0.0,0.0,0.0
313,0.6292585170340681,0.8744885226279681,0.0,0.0,0.0
314,0.6312625250501002,0.9062100828551503,0.0,0.0,0.0
315,0.6332665330661322,0.8730245137695138,0.0,0.0,0.0
316,0.6352705410821643,0.8839773002749083,0.45611732052056214,0.0,0.0
317,0.6372745490981964,0.8931938379015334,0.590871256235014,0.0,0.0
318,0.6392785571142284,0.9153813359503119,0.7130138849213981,0.0,0.0
319,0.6412825651302605,0.9091935252299406,0.7312518397834604,0.0,0.0
320,0.6432865731462926,0.9027039605092786,0.7274342627513465,0.0,0.0
321,0.6452905811623246,0.8756221096659521,0.7517922002839397,0.0,0.0
322,0.6472945891783567,0.8694810876570637,0.8489184760116172,0.0,0.0
