,radii,0.524,0.698,0.873,1.047,1.222,1.396,1.571
66,0.25745302651181473,0.20175629452671331,0.20271070381505546,0.1975697805544049,0.18983019887956856,0.18147381542270216,0.17544883031170164,0.17248418434655238
67,0.26135382994381195,0.2055791957889816,0.2065301961457094,0.20039916641801753,0.19247240147792843,0.18386258258938298,0.17734732696299138,0.1740071382645705
68,0.2652546333758091,0.20940209705124982,0.2103496884763633,0.2032285522816299,0.19523551279049978,0.18625134975606392,0.17934434591741058,0.17553009218258858
69,0.26915543680780635,0.21322499831351802,0.21416918080701736,0.20605793814524248,0.19799862410307112,0.18864011692274474,0.18142151468608034,0.1770530461006068
70,0.2730562402398035,0.21704789957578624,0.21798867313767128,0.20966660361150402,0.20076173541564246,0.19102888408942548,0.18349868345475004,0.17857600001862492
71,0.27695704367180074,0.2208708008380546,0.22180816546832532,0.21336684170188353,0.20352484672821392,0.1934176512561064,0.18557585222341977,0.18009895393664302
72,0.2808578471037979,0.22477330958078276,0.22562765779897925,0.21730890419742027,0.20628795804078515,0.19580641842278723,0.18765302099208953,0.18177579171586153
73,0.28475865053579513,0.22897482913016234,0.22944715012963313,0.22125995287869513,0.2090510693533566,0.19819518558946808,0.18973018976075923,0.18391436444983242
74,0.2886594539677923,0.2331763486795416,0.23326664246028722,0.22521100155996987,0.21181418066592783,0.2005839527561489,0.19180735852942898,0.18605293718380328
75,0.29256025739978947,0.2373778682289212,0.23708613479094112,0.2291075381971441,0.2145772919784993,0.20297271992282973,0.19388452729809869,0.18819150991777414
76,0.2964610608317867,0.24157938777830062,0.24090562712159508,0.2329892377966886,0.21734040329107066,0.20536148708951069,0.1958871409528413,0.19033008265174514
77,0.30036186426378386,0.2457809073276801,0.24472511945224912,0.2368709373962333,0.22039233307693964,0.2077502542561915,0.19778340020116947,0.192468655385716
78,0.3042626676957811,0.250822555450319,0.24889210805634854,0.240752636995778,0.22398426791244033,0.21024311677905314,0.19967965944949756,0.19460722811968686
79,0.30816347112777825,0.2563347327587802,0.25389151550817207,0.24463433659532238,0.22758712833515185,0.21282778332131735,0.20157591869782568,0.19674580085365773
80,0.3120642745597755,0.26184691006724137,0.25886565572157005,0.2485160361948671,0.2312340209270227,0.2154124498635815,0.2034721779461538,0.1988843735876286
81,0.31596507799177265,0.2673590873757025,0.2638364230989588,0.2523977357944118,0.2348809135188935,0.21799711640584551,0.20536843719448195,0.20102294632159948
